"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","dataset_id","weight_kg","weight_class"
"2020-P","1119",321.777583830506,"Uematsu, Nobuyuki",NA,"Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Champion",9,145.955856862553,"Light"
"2015-P","1793",25.3689616535779,"Ueno, Koji","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Prizewinner",9,11.5071674408855,"Light"
"2019-P","EXH",553.235219526007,"Langenlois, Gartenbauschule","Tulln","Lower Austria","Austria","Austrian Weigh-off",NA,NA,313.913760538325,NA,0,"Jack O'Lantern",9,250.943274392272,"Medium"
"2021-P","1157",243.317144624511,"Falchi, Brunero","Malonno","Lombardy","Italy","Sfida Nazionale della Zucca - Club Maspiano","2008 CUTRUPI","BARESI",214.376971854511,227.415725139516,4.94253211291651,"Dill's Atlantic",9,110.366800291865,"Light"
"2019-P","849",703.107672888779,"Minami, Kanetoshi",NA,"Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Casper",9,318.924275710806,"Medium"
"2019-P","DMG",506.793694270532,"Tosoni, Matteo","Semproniano","Tuscany","Italy","Campionato dello Zuccone","1911",NA,260.811140490553,426.724610332167,NA,"Connecticut Field",9,229.877752885226,"Medium"
"2018-P","1717",54.1849554429076,"Uematsu, Yuichi","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Big Max",9,24.5778823576929,"Light"
"2021-P","1242",148.490555079984,"Team Schaugarten Kittenberger Erlebnisgaertnen","St. Michael","Carinthia","Austria","Austrian Weigh-off","829.4 Joebstl","self",187.38681451229,177.276520705099,0,"Connecticut Field",9,67.3541828013456,"Light"
"2016-P","1474",199.140412913496,"., Fratelli Mori","Foiano della Chiana","Tuscany","Italy","Campionato dello Zuccone",NA,NA,216.375076482992,225.97082102418,0,"Blue Hubbard",9,90.328571856211,"Light"
"2016-P","1373",287.328193122328,"Ondelli, Franco","Castelfiorentino","Tuscany","Italy","Campionato dello Zuccone",NA,NA,228.549775305405,269.918337965966,7.03763410342365,"Big Max",9,130.329876086175,"Light"
"2013-P","EXH",515.704458155767,"Benedikt, Gottfried",NA,"Other","Austria","Austrian Weigh-off",NA,NA,0,0,0,"Blue Hubbard",9,233.91960739444,"Medium"
"2019-P","1161",379.994521185626,"Rosi, Silvano",NA,"Lombardy","Italy","Sfida degli Zucconi della Brianza",NA,NA,260.033724121004,412.305856836203,1.96753202014078,"Spirit",9,172.362615451603,"Light"
"2020-P","1360",64.1110488361024,"School, Kisomisaki Primaru",NA,"Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Howden",9,29.0802825847534,"Light"
"2014-P","489",991.555080535678,"Puchner, Thomas",NA,"Other","Austria","Austrian Weigh-off","1678 Delaney",NA,354.847285755496,1134.11532593638,0,"Big Moose",9,449.761818965719,"Heavy"
"2016-P","1139",537.65966225858,"Shinohara, Shigehiro","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Spirit",9,243.878320457269,"Medium"
"2018-P","320",1356.17432870542,"Moretti, Sergio","Foiano della Chiana","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,364.978549591283,1086.14773488411,25.1847595816245,"Rouge Vif d’Etampes",9,615.15032789065,"Heavy"
"2018-P","1739",33.9257808210163,"Watanabe, Osamu","Kurashiki","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Champion",9,15.3884753267053,"Light"
"2020-P","998",461.984777001475,"Itou, Yoshihiro","Kamogawa","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Spirit",9,209.552769904021,"Medium"
"2019-P","727",751.932887503007,"Nakajima, Kosuke","Shozu, Kagawa","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,NA,"Big Moose",9,341.071020523432,"Medium"
"2018-P","395",1227.54536862034,"Piazza, Moreno","Novellara","Emilia-Romagna","Italy","Campionato dello Zuccone","2269 Paton","2624 Willemjins",378.739888789884,1114.06580897415,8.92204492079721,"Autumn Gold",9,556.805213035025,"Heavy"
"2015-P","590",939.442520447927,"Ribechini, Alessio","Foiano della Chiana","Other","Italy","Festa della zucca di sale",NA,NA,NA,956.093750051362,2.07248089956093,"Rouge Vif d’Etampes",9,426.123959328749,"Heavy"
"2017-P","919",631.685510527812,"Turmolli, Andrea","Castiglion Fiorentino","Tuscany","Italy","Campionato dello Zuccone",NA,NA,300.63214928612,691.049703115685,0,"Early Giant",9,286.52772781497,"Medium"
"2019-P","710",749.818934531657,"Pachtrog, Andreas",NA,"Lower Austria","Austria","Austrian Weigh-off","Karkos 2018",NA,303.821025134638,798.367254396105,0,"Champion",9,340.112147585089,"Medium"
"2020-P","1291",121.514920374521,"Dorner, Martin","Riederberg","Vienna","Austria","Retzer Land Weigh-off","487 Jaglarz 19","self",0,0,0,"Autumn Gold",9,55.1182407230401,"Light"
"2017-P","1088",499.483810009429,"Nishiyama, Hiroshi","Shozu, Kagawa","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Connecticut Field",9,226.562045158807,"Medium"
"2019-P","1099",455.874431779586,"Scali, Guido","Lamporecchio","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,272.455460765433,438.572123948309,7.83137349017056,"Rouge Vif d’Etampes",9,206.781163933306,"Medium"
"2018-P","998",571.011803532201,"Tulln, Team Bauhof","Sooss","Lower Austria","Austria","Austrian Weigh-off","1080.9 Melka","sibb",0,0,0,"Howden",9,259.006597262145,"Medium"
"2019-P","1410",249.446289404947,"Mizutani, Kenjiro","Izumo","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Rouge Vif d’Etampes",9,113.146933598896,"Light"
"2014-P","972",557.337695527199,"Aijima, Tadayuki","Kuwana","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Dill's Atlantic",9,252.80412620452,"Medium"
"2017-P","DMG",1227.4498550467,"soc agr, calzolari","Capua","Campania","Italy","Campionato dello Zuccone","2066 Geddes","1216 Keenan",371.641346989409,NA,0,"Prizewinner",9,556.761888806789,"Heavy"
"2013-P","1193",297.143248591891,"Biondi, Carlo",NA,"Other","Italy","Campionato dello Zuccone","899 Cutrupi","Open",0,0,0,"Big Moose",9,134.781910358295,"Light"
"2014-P","730",826.82139111032,"Lizzi, Denis",NA,"Other","Italy","Pesa la Zucca! Foiano",NA,NA,335.681670932615,686.999904875949,19.6503705695688,"Spirit",9,375.039874360427,"Heavy"
"2016-P","1541",149.782816753028,"Melka, Friedrich","Doerfles","Lower Austria","Austria","Austrian Weigh-off",NA,NA,NA,0,0,"Dill's Atlantic",9,67.9403428362816,"Light"
"2021-P","1333",75.2488999733605,"Valeriani, Claudio","San Pancrazio","Lombardy","Italy","Sfida Nazionale della Zucca - Club Maspiano","x","x",0,0,0,"Atlantic Giant",9,34.1323268788095,"Light"
"2021-P","1207",205.791739105617,"Dorner, Martin","Langenlois","Lower Austria","Austria","Leiserberge Weigh-off","520.3 Grabmayer 19",NA,209.222920704436,202.883375637762,0.992952684730039,"Casper",9,93.3455626673386,"Light"
"2016-P","307",1292.4339747264,"Langenlois, Gartenbauschule",NA,"Lower Austria","Austria","Europameisterschaft im Kurbiswiegen","1585.5 Werner","1338 Martin",414.942433486546,1450.12041611197,0,"Spirit",9,586.238189664669,"Heavy"
"2017-P","1371",265.300779859517,"Rosi, Silvano","Teglio","Lombardy","Italy","Festa della zucca di sale","unknow",NA,228.137465816303,283.855859957793,2.89012466659329,"Casper",9,120.338409499327,"Light"
"2021-P","1268",126.455185765875,"Vendepane, Giulio","San Pancrazio","Lombardy","Italy","Sfida Nazionale della Zucca - Club Maspiano","BUFFOLI anno 2016","BUFFOLI anno 2016",0,0,0,"Dill's Atlantic",9,57.3591074103336,"Light"
"2016-P","1656",19.3856458351082,"koko, Izumonorin","Hokuto","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Autumn Gold",9,8.79318103832735,"Light"
"2017-P","1116",499.785256539793,"Melka, Friedrich",NA,"Lower Austria","Austria","OO Landesgartenschau 2017 Kremsmunster","1714 Lueders","SIBB",0,0,0,"Early Giant",9,226.698779004943,"Medium"
"2019-P","1227",355.342692566038,"Joebstl, Horst","Eggendorf","Lower Austria","Austria","Gartenbauschule Langenlois",NA,NA,256.238732488127,391.381969893442,0,"Connecticut Field",9,161.180734083211,"Light"
"2020-P","EXH",367.097285462576,"Team, Jugendzentrum Berndorf","Gr. Gerungs","Lower Austria","Austria","Retzer Land Weigh-off",NA,NA,243.55523105597,382.223760258735,0,"Jack O'Lantern",9,166.512527733537,"Light"
"2021-P","252",1317.34203118497,"Wischer, Andreas","Pruggern","Styria","Austria","Austrian Weigh-off","1819 Mendi 19",NA,379.399381210837,1154.53560234976,4.98877631492855,"Cinderella",9,597.536294025804,"Heavy"
"2018-P","1185",476.421768607523,"Aininger, Gerald","Doerfles","Lower Austria","Austria","Austrian Weigh-off","1784 Stels 17","2269 Paton",282.966472709766,482.463775120263,0.966280649824653,"Dill's Atlantic",9,216.101279142278,"Medium"
"2018-P","DMG",522.474816584221,"Mitra, Marco",NA,"Lombardy","Italy","Festa della zucca di sale","1949 haist","self",NA,529.27560509843,0,"Wolf",9,236.990590319752,"Medium"
"2015-P","1245",491.312149197332,"Rosati, Loris","Iseo","Lombardy","Italy","Festa della zucca di sale",NA,NA,260.69510922979,404.551700798322,27.2235234105379,"Big Moose",9,222.855442164211,"Medium"
"2021-P","1268",129.083350267431,"Balloni-Rabazzi,","Cologne","Lombardy","Italy","Sfida Nazionale della Zucca - Club Maspiano","BUFFOLI anno 2016","BUFFOLI anno 2016",0,0,0,"Howden",9,58.5512227753442,"Light"
"2014-P","1190",464.012211602381,"Falchi, Brunero",NA,"Other","Italy","Pesa la Zucca! Foiano",NA,NA,290.805720540539,551.265363324217,0,"Jack O'Lantern",9,210.472398769665,"Medium"
"2015-P","1576",210.615036643773,"Boselli, Ermerino","Cologne","Other","Italy","Campionato dello Zuccone","1254 Bartoli","Open",199.719732591399,214.034737771096,0,"Jack O'Lantern",9,95.5333736288858,"Light"
"2016-P","1120",497.895234801854,"Ribechini, Alessio",NA,"Other","Italy","Campionato dello Zuccone",NA,NA,289.678100745734,540.332966672486,0,"Cinderella",9,225.84147956548,"Medium"
"2017-P","714",744.052838052341,"Melka, Friedrich",NA,"Lower Austria","Austria","Austrian Weigh-off","Mathias 16",NA,331.484662077713,893.967395979787,0,"Jack O'Lantern",9,337.496690217388,"Medium"
"2019-P","591",926.332595665015,"Bartoli, Ivan e William","Foiano della Chiana","Tuscany","Italy","Campionato dello Zuccone",NA,"Open",348.490745749715,961.418478973044,0,"Wolf",9,420.177397475946,"Heavy"
"2018-P","351",1285.52936452371,"Gangl, Markus","Riederberg","Lower Austria","Austria","Austrian Weigh-off","2269 Paton","2145 McMullen",404.728982960709,1552.22266875612,0,"Jack O'Lantern",9,583.106311158905,"Heavy"
"2020-P","1345",74.6751396423754,"Hamanaka, Kozou","Sakai-shi","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Dill's Atlantic",9,33.872073570466,"Light"
"2018-P","EXH",398.135265308351,"Ricci, Giulio and Francesco",NA,"Veneto","Italy","Festa della zucca di sale",NA,NA,249.650464318299,403.207199084295,0,"Early Giant",9,180.591118571794,"Light"
"2021-P","1137",259.793547902441,"Lacina, Martin","Eggendorf","Lower Austria","Austria","Leiserberge Weigh-off","JZB Berndorf 20",NA,219.407694521708,279.306745418721,0,"Rouge Vif d’Etampes",9,117.840371103777,"Light"
"2018-P","1098",533.161511504302,"Cutrupi, Stefano","Farigliano","Piedmont","Italy","Festa della zucca di sale","Mix","mix",295.59848097871,567.332108807314,0,"Big Moose",9,241.837993596018,"Medium"
"2013-P","976",477.273163976926,"Battista, Gregori",NA,"Other","Italy","Pesa la Zucca! Foiano",NA,NA,278.383535255505,401.490971794367,13.765127971974,"Autumn Gold",9,216.487465585693,"Medium"
"2020-P","EXH",248.712816836378,"Rosati, Loris","Pontedera","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,216.762056202995,242.046832045379,4.08005391853254,"Casper",9,112.814236038189,"Light"
"2019-P","1578",132.520545725287,"Utunomiya, Hiroyoshi","Kuwana, Mie","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,NA,0,"Connecticut Field",9,60.1103084092263,"Light"
"2018-P","725",831.314544992145,"Yada, Shizuka","Tonosho","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Blue Hubbard",9,377.077934678459,"Heavy"
"2018-P","1651",126.5269917006,"Turmolli, Andrea","Lamporecchio","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,177.093631731322,131.533241473778,0,"Casper",9,57.3916780344456,"Light"
"2014-P","930",636.478421146999,"Topini, Cinzia",NA,"Other","Italy","Festa della zucca di sale",NA,NA,310.927693358026,720.146020480454,0,"Spirit",9,288.701755501925,"Medium"
"2015-P","403",1219.95987898054,"Melka, Friedrich",NA,"Lower Austria","Austria","Austrian Weigh-off","1751 lovse 14",NA,368.425885357126,1216.39679738455,NA,"Autumn Gold",9,553.364492811695,"Heavy"
"2018-P","1358",363.916211756908,"Fantoni, Marco","Pontedera","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,247.686530695596,325.853969209527,2.90239045755178,"Cinderella",9,165.069616972238,"Light"
"2018-P","656",912.792980284868,"Ondelli, Franco",NA,"Other","Italy","Pesa la Zucca! Foiano",NA,NA,341.107914995374,919.36682567805,1.03430337401277,"Howden",9,414.035931246777,"Heavy"
"2017-P","1113",458.711442769009,"Niccolai, Giacomo",NA,"Lombardy","Italy","Festa della zucca di sale","Vnderwiellen 2004","unknow",292.681540793637,559.544211830294,NA,"Rouge Vif d’Etampes",9,208.068010471714,"Medium"
"2017-P","1098",481.751710160025,"Moullin, Paul",NA,"Lower Austria","Austria","OO Landesgartenschau 2017 Kremsmunster","2095 Willemijns","1726 Cutrupi",NA,0,0,"Early Giant",9,218.518899963039,"Medium"
"2021-P","422",1118.50177373901,"Hoefler, Norbert","St. Margarethen","Carinthia","Austria","Austrian Weigh-off","2138 Biermans",NA,378.699748687362,1209.94502984421,0,"Spirit",9,507.343870399481,"Heavy"
"2017-P","DMG",248.902246151821,"Boschi, Valerio","Goito","Lombardy","Italy","Sfida degli Zucconi della Brianza","821.2 Petrelli","Open",231.722690133256,252.00425667972,0,"Cinderella",9,112.900159730328,"Light"
"2018-P","773",818.93393849624,"Melka, Friedrich","St. Margarethen","Carinthia","Austria","Austrian Weigh-off","1527 Melka",NA,353.462433233354,860.403210061963,0,"Atlantic Giant",9,371.462186035944,"Heavy"
"2016-P","DMG",902.009440044575,"LFS Tulln, Team","Wien","Vienna","Austria","Austrian Weigh-off","Harnica",NA,NA,852.551626123526,0,"Casper",9,409.144599672192,"Heavy"
"2014-P","761",775.264550342432,"Gabriele and Sauro, Bartoli","Buja","Other","Italy","Festa della zucca di sale",NA,NA,261.61938271383,531.489897265989,46.9421851715891,"Atlantic Giant",9,351.654084766808,"Medium"
"2013-P","1525",43.2259107832259,"Citybunkajigyoubu Koga, Kabuchikigaisha Jrhakata","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Dill's Atlantic",9,19.606943317572,"Light"
"2019-P","694",829.717302803619,"Hoefler, Norbert","Baerndorf","Lower Austria","Austria","Austrian Weigh-off","2020.5 Weishaeupl","1211 Ailts",343.071984274576,810.897807014231,1.95806345246612,"Jack O'Lantern",9,376.353437808701,"Heavy"
"2018-P","1042",542.612314892579,"Yada, Kazuyo","Shozu, Kagawa","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Rouge Vif d’Etampes",9,246.124805903311,"Medium"
"2020-P","1165",252.212246966233,"Urataki, Noboru","Shima","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,NA,"Blue Hubbard",9,114.401550844439,"Light"
"2015-P","658",929.695493546233,"Guttmann, Johanna","Haag","Lower Austria","Austria","Austrian Weigh-off","2102 Meier 14",NA,351.849822076365,919.084718873523,0,"Atlantic Giant",9,421.702782295956,"Heavy"
"2019-P","1557",127.784088682285,"Comanducci, .","Semproniano","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,171.31844680928,122.292726538005,3.90603181031119,"Autumn Gold",9,57.961887633688,"Light"
"2020-P","1002",416.359156196305,"Schoetzer, Alexander",NA,"Lower Austria","Austria","Leiserberge Weigh-off","1395 Weishaeupl 18","520 Grabmayer 19",260.230939272795,491.048042647426,0,"Rouge Vif d’Etampes",9,188.857336430282,"Medium"
"2016-P","1517",173.092259685981,"Spreafico, Luca","Foiano della chiana","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,211.90475094449,182.933631842381,0,"Autumn Gold",9,78.5133282996194,"Light"
"2018-P","839",779.656674683678,"Yato, Nobuyuki","Marugame","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,NA,"Dill's Atlantic",9,353.646318856088,"Medium"
"2013-P","1436",147.875083068516,"Zucchelli, Michael","Buja","Other","Italy","Pesa la Zucca! Foiano",NA,NA,185.331029051483,138.927107633655,0.997035570812395,"Big Max",9,67.075009392995,"Light"
"2018-P","691",946.648514008962,"Grabmayer, Manfred","Riederberg","Lower Austria","Austria","Europameisterschaft im Kurbiswiegen","2269 Paton","2145 McMullen",358.8865481136,948.210333256365,0,"Champion",9,429.392543026303,"Heavy"
"2020-P","1205",208.82591820693,"Shiraki, Tosiaki","Izumo","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,NA,"Blue Hubbard",9,94.7218431569077,"Light"
"2017-P","EXH",1071.83334646052,"Schodl, Josef","Langenlois","Lower Austria","Austria","Austrian Weigh-off","2095 Willemijns 16","2095 Willemijns 16",349.15747711694,859.80943596839,22.9026996193167,"Cinderella",9,486.17542786606,"Heavy"
"2014-P","998",571.545485662737,"Hofer, Johann",NA,"Other","Austria","Austrian Weigh-off",NA,NA,297.194140914503,619.513363612605,2.96011357588236,"Howden",9,259.248671404562,"Medium"
"2013-P","1434",154.750274289848,"Colzani, Enrico","Dragoni","Other","Italy","Festa della zucca di sale","557 Danesi","557 Danesi",195.847352245302,141.622435599832,2.91131431810073,"Atlantic Giant",9,70.1935436732824,"Light"
"2013-P","1193",309.269161321104,"Gobbi, Alessio","Calcio","Other","Italy","Campionato dello Zuccone","899 Cutrupi","Open",0,0,NA,"Connecticut Field",9,140.282131851552,"Light"
"2017-P","853",710.536911357859,"Kuroda, Takahito","Hokuto","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Early Giant",9,322.294121595291,"Medium"
"2016-P","649",939.574185353172,"Boschi, Valerio","Capua","Campania","Italy","Campionato dello Zuccone","1985 Miller","self",335.61941220015,832.364869653857,12.7993669414941,"Autumn Gold",9,426.183681525164,"Heavy"
"2020-P","1373",54.7316272398479,"Komatu, Masatosi","Mie","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Wolf",9,24.8258485136792,"Light"
"2014-P","775",770.824594899678,"Colzani, Enrico","Artogne","Other","Italy","Pesa la Zucca! Foiano",NA,NA,327.964831520834,700.866649810737,6.17174000757879,"Casper",9,349.640154854835,"Medium"
"2018-P","1395",347.12639561276,"Jaglarz, Mario",NA,"Styria","Austria","Austrian Weigh-off","1032 Klein",NA,0,0,NA,"Spirit",9,157.453884475549,"Light"
"2014-P","1591",146.392564383895,"Petrelli, Francesco","Arezzo","Other","Italy","Campionato dello Zuccone","952 Bartoli","Open",195.755684418099,171.352766460098,0,"Spirit",9,66.4025502292687,"Light"
"2019-P","537",993.564692923892,"Boeck, Alexander","Waidhofen/Thaya","Lower Austria","Austria","Leiserberge Weigh-off","2095 Brandt 2017","2145.5 McMullen 2015",369.977097838577,1019.5025353357,0,"Big Moose",9,450.67336381167,"Heavy"
"2018-P","1736",36.6991109822292,"Tokunaga, Terukazu","Kuwana, Mie","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Howden",9,16.6464367273224,"Light"
"2015-P","567",1016.18452493478,"Topini, Giuseppe","Peccioli","Other","Italy","Campionato dello Zuccone","1776 Deswert","1789 Wallace",NA,1169.25132176809,0,"Howden",9,460.933547022493,"Heavy"
"2020-P","78",1646.59759833584,"Chiti, Davide","Goito","Lombardy","Italy","Sfida degli Zucconi della Brianza","2416.5 Haist","2145 Mcmullen",435.019791429553,1556.11284201262,10.1280526346479,"Dill's Atlantic",9,746.88410706546,"Heavy"
"2015-P","995",691.735710563504,"Gabriele, Rosso",NA,"Other","Italy","Campionato dello Zuccone","1488 Cutrupi est-dmg","Open",303.929709270977,625.677991247922,8.17629689507007,"Early Giant",9,313.766040368134,"Medium"
"2016-P","959",662.754430885607,"roberto, morettini",NA,"Lombardy","Italy","Campionato dello Zuccone","1488 Cutrupi","Self",321.888138870991,NA,1.95386317239081,"Prizewinner",9,300.620353033404,"Medium"
"2014-P","1374",358.532729031993,"Franco, Ricciardi",NA,"Other","Italy","Campionato dello Zuccone","1382 Cutrupi","Open",237.451544097087,355.717298307867,1.9855244575487,"Champion",9,162.62771028419,"Light"
"2013-P","906",474.251948679121,"Zecchini, Fernando",NA,"Other","Italy","Festa della zucca di sale","1118 Cutrupi",NA,284.487345529727,520.473158358306,0,"Atlantic Giant",9,215.117065378481,"Medium"
"2018-P","1704",65.8341091562292,"Yada, Tsunehisa","Kamogawa","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,NA,"Casper",9,29.8618495990127,"Light"
"2018-P","1049",595.731666325901,"Nibu, Haruto","Kanonji","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Spirit",9,270.219338412815,"Medium"
"2020-P","998",443.412068598739,"Team K","Nisiyo, Ehime","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Big Moose",9,201.128331082305,"Medium"
"2016-P","1121",521.810310273257,"Gangl, Markus","Langenlois","Lower Austria","Austria","Austrian Weigh-off","664,9 Jaglarz","self",295.801673389122,627.549508027185,0,"Early Giant",9,236.689175327282,"Medium"
"2021-P","927",498.213568572554,"Langenlois, Gartenbauschule","Retz","Lower Austria","Austria","Leiserberge Weigh-off","2241 Van Geel 19","2020.5 Weisshaepl",275.62066630361,507.236634079697,0,"Autumn Gold",9,225.985873334982,"Medium"
"2019-P","1613",98.1631563632252,"Successor Club 2, Ishii Town Agricultural","Izumo","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Casper",9,44.5260587414759,"Light"
"2020-P","1291",125.243081444782,"Bauhof Tulln, Team","Riederberg","Vienna","Austria","Retzer Land Weigh-off","487 Jaglarz 19","self",0,0,0,"Rouge Vif d’Etampes",9,56.8093061386417,"Light"
"2018-P","1206",489.001887584532,"Team, Gemeinde Tulln","Baerndorf","Lower Austria","Austria","Austrian Weigh-off","2269 Paton",NA,288.354784316459,523.547519708776,0,"Jack O'Lantern",9,221.807525123942,"Medium"
"2019-P","1578",132.425323801016,"Sasaki, Toshiki","Shodoshima","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Big Max",9,60.0671164709202,"Light"
"2016-P","1357",315.717012622467,"Pachtrog, Andreas","St. Margarethen","Carinthia","Austria","Austrian Weigh-off","342.8 Joebstl",NA,0,0,0,"Jack O'Lantern",9,143.206828004745,"Light"
"2015-P","1662",152.024295668956,"Del Petriccio, .","Foiano della Chiana","Other","Italy","Festa della zucca di sale",NA,NA,180.869036541742,NA,25.4243490093757,"Early Giant",9,68.9570605700626,"Light"
"2018-P","988",623.391113576782,"Freyberger, Iryna","Riederberg","Vienna","Austria","Austrian Weigh-off","1892 Faust 15",NA,0,0,0,"Big Moose",9,282.765452644232,"Medium"
"2020-P","1073",388.233425381055,"Schieder, Christoph","Waidhofen/Thaya","Lower Austria","Austria","Austrian Weigh-off",NA,NA,246.723233975477,391.078782128134,1.00908654118341,"Champion",9,176.099719531811,"Light"
"2015-P","840",834.677943589187,"Battista, Gregori","Casarta","Other","Italy","Campionato dello Zuccone","1840 Ghaye","1789 Wallace",330.316453810748,867.19380791584,0,"Cinderella",9,378.603546619346,"Heavy"
"2021-P","346",1204.31221709068,"Lacina, Martin","Langenlois","Lower Austria","Austria","Austrian Weigh-off","1965 Jutras 19","2021.5 Sperry 20",389.548198227817,1260.43388260824,0,"Big Max",9,546.266832770117,"Heavy"
"2015-P","1434",295.348938424298,"Vincenzo Italiano","Calcio","Other","Italy","Pesa la Zucca! Foiano",NA,NA,239.332586844624,307.471531968317,0,"Big Moose",9,133.968024956862,"Light"
"2014-P","452",1041.19128700148,"Squitieri, Danilo","Perugia","Other","Italy","Campionato dello Zuccone","1490 Cutrupi","Open",376.1558069689,1007.99732182683,4.12654271300982,"Casper",9,472.27642349435,"Heavy"
